artistID,tag_count,fan_count,log_fan_count,word_count,char_count,log_word_count,log_char_count,log_tag_count,pictureURL_valid
1,15.0,3,0.12110367334688617,2,12,0.19498750024038547,0.461969774066217,0.405507351680273,1
2,27.0,12,0.3270331695187162,3,15,0.33333333333333337,0.5132161673109564,0.4873544407576761,1
3,9.0,3,0.12110367334688617,2,17,0.19498750024038547,0.5422855866344671,0.3367665660575173,1
4,22.0,2,0.0708411076075126,3,12,0.33333333333333337,0.461969774066217,0.4585844072405787,1
5,7.0,2,0.0708411076075126,2,11,0.19498750024038547,0.4422148490875525,0.3041305137602047,1
6,27.0,10,0.2978462033624548,1,9,0.0,0.39721701254324104,0.4873544407576761,1
7,178.0,133,0.7346256838142752,2,14,0.19498750024038547,0.4972877500901558,0.7586855790753682,1
8,28.0,12,0.3270331695187162,3,11,0.33333333333333337,0.4422148490875525,0.4924867519618198,1
9,41.0,24,0.4412843697295075,1,11,0.0,0.4422148490875525,0.5466560893826026,1
10,24.0,9,0.2811940215381969,1,7,0.0,0.3421441115406376,0.470779456274898,1
11,17.0,6,0.21887732010275102,1,8,0.0,0.37121353086414843,0.4227338110100577,1
12,22.0,19,0.402297694885083,1,8,0.0,0.37121353086414843,0.4585844072405787,1
13,22.0,10,0.2978462033624548,1,6,0.0,0.30918792202299866,0.4585844072405787,1
15,42.0,26,0.4547306695163101,2,12,0.19498750024038547,0.461969774066217,0.5500975625488135,1
16,24.0,8,0.2627858885619114,3,21,0.33333333333333337,0.591812078797124,0.470779456274898,1
17,18.0,6,0.21887732010275102,2,12,0.19498750024038547,0.461969774066217,0.4306414590265689,1
18,32.0,10,0.2978462033624548,2,15,0.19498750024038547,0.5132161673109564,0.5113847250431474,1
19,30.0,13,0.33998099344963717,1,10,0.0,0.42074002302680524,0.5022407563822904,1
20,7.0,1,0.0,2,12,0.19498750024038547,0.461969774066217,0.3041305137602047,1
21,0.0,1,0.0,2,19,0.19498750024038547,0.5682890683135597,0.0,1
22,7.0,1,0.0,1,5,0.0,0.2711427933172336,0.3041305137602047,1
23,12.0,4,0.16009034819131068,2,12,0.19498750024038547,0.461969774066217,0.37513887753897257,1
24,10.0,4,0.16009034819131068,1,9,0.0,0.39721701254324104,0.3507062384981527,1
25,38.0,26,0.4547306695163101,3,15,0.33333333333333337,0.5132161673109564,0.5358173640839673,1
26,15.0,2,0.0708411076075126,1,7,0.0,0.3421441115406376,0.405507351680273,1
27,21.0,6,0.21887732010275102,1,7,0.0,0.3421441115406376,0.45208307641822093,1
28,21.0,6,0.21887732010275102,1,9,0.0,0.39721701254324104,0.45208307641822093,1
30,74.0,32,0.4897909843168535,2,7,0.19498750024038547,0.3421441115406376,0.6314579428198926,1
31,15.0,4,0.16009034819131068,1,8,0.0,0.37121353086414843,0.405507351680273,1
32,53.0,16,0.3739030913974302,1,8,0.0,0.37121353086414843,0.5834122975550524,1
34,19.0,9,0.2811940215381969,3,12,0.33333333333333337,0.461969774066217,0.4381434039775855,1
