userID,artistID,predicted_weight
2,90,870.67554
2,83,870.5445
3,103,990.9066
3,146,752.1028
3,131,738.1876
3,139,738.18756
3,134,738.1875
3,126,730.27997
3,137,624.92993
3,105,624.92993
4,163,872.79517
4,164,872.78735
4,193,872.7854
4,181,872.78516
4,188,872.78503
4,172,872.785
4,171,872.7849
4,158,872.78455
4,153,872.7845
4,174,872.78406
5,200,873.5782
5,221,873.56995
5,235,873.5495
5,236,873.5495
5,234,873.5493
5,215,873.5492
5,206,873.5489
6,254,874.5217
6,275,874.5209
6,250,874.50244
6,257,874.48816
7,296,877.44495
7,306,877.4386
7,329,877.41614
7,307,877.41187
7,302,877.41174
7,305,877.41064
7,308,877.4083
7,55,877.39606
8,300,877.71906
8,361,877.7052
8,342,877.70514
9,412,877.8695
9,390,877.864
9,372,877.8633
9,394,877.8633
9,369,877.8629
9,389,877.8627
9,399,877.86255
9,385,877.8606
9,395,877.8603
10,196,878.02686
10,451,878.01904
10,452,878.0105
10,229,878.00323
10,435,878.0023
10,422,877.99866
10,219,877.99744
10,428,877.9966
11,329,908.7202
11,294,908.71814
11,304,908.7153
11,460,878.05414
11,456,878.0541
11,455,878.05396
11,234,878.05304
12,492,908.81805
12,505,908.8174
12,498,908.812
12,489,908.8119
12,495,908.8086
12,512,908.8085
12,522,908.80835
13,55,908.9773
13,535,908.89746
13,498,908.8862
13,534,908.87695
13,531,908.87573
13,523,908.87573
13,539,908.87573
13,542,908.87573
13,325,908.8753
14,578,908.9194
14,591,908.91785
14,573,908.917
14,561,908.91626
14,581,908.9159
14,592,908.9127
14,593,908.912
14,595,908.90393
15,603,830.7802
15,631,830.7802
15,613,735.0459
15,620,728.116
15,621,726.3719
15,607,726.3719
15,608,675.6864
15,606,675.6864
15,624,675.6864
15,630,675.6864
16,642,909.0029
16,665,909.00073
16,649,909.00073
16,658,909.00073
16,667,909.00073
17,89,1553.5519
17,548,938.81323
17,300,926.59094
17,687,702.06116
17,693,702.06116
17,685,702.06116
18,711,650.0343
18,378,650.0325
18,220,650.0299
18,739,650.0235
18,732,650.02344
18,718,650.0232
18,729,650.0232
18,56,650.0206
20,141,650.08606
20,759,650.07385
20,770,650.07355
20,776,650.07166
20,782,650.07117
21,300,650.09033
21,789,650.08765
21,797,650.08606
21,686,650.08594
21,660,650.08594
22,817,650.09607
22,813,650.09595
22,818,650.0958
22,805,650.0956
22,811,650.0945
22,830,650.09296
22,814,650.0924
22,845,650.0924
22,837,650.09235
22,831,650.09235
23,856,650.0961
23,878,650.0947
23,853,650.09314
23,868,650.0907
23,865,650.0901
23,869,650.0901
23,876,650.08984
23,159,650.08923
23,873,650.08887
23,599,650.0886
24,789,638.8055
24,437,638.8048
24,157,638.80457
24,896,638.8042
24,905,638.8041
24,897,638.80396
24,898,638.8039
24,893,638.80383
24,289,638.8025
24,258,638.80237
25,331,638.828
25,314,638.8272
25,913,638.82605
25,908,638.8251
25,906,638.8231
25,308,638.823
25,469,638.82263
26,951,638.8363
26,928,638.835
26,931,638.83496
26,934,638.83185
26,927,638.8317
26,950,638.8316
26,841,638.8316
26,718,638.83154
26,511,638.8314
27,988,638.8291
27,962,638.8275
27,726,638.82715
27,689,638.82697
28,72,654.563
28,1021,638.8462
