artistID,artist_popularity,num_users,log_artist_popularity,log_num_users
1,771,3,6.648984550024776,1.3862943611198906
2,8012,12,8.98882050177807,2.5649493574615367
3,775,3,6.654152520183219,1.3862943611198906
4,563,2,6.335054251498059,1.0986122886681098
5,913,2,6.81783057145415,1.0986122886681098
6,5080,10,8.533263371593732,2.3978952727983707
7,96201,133,11.474205426458479,4.897839799950911
8,10791,12,9.286560397887591,2.5649493574615367
9,9621,24,9.171807422259398,3.2188758248682006
10,4067,9,8.31090675716845,2.302585092994046
11,1992,6,7.597396320212795,1.9459101490553132
12,9564,19,9.165865881874353,2.995732273553991
13,2376,10,7.773594467360194,2.3978952727983707
15,8963,26,9.100971834920818,3.295836866004329
16,1381,8,7.231287004327616,2.1972245773362196
17,1780,6,7.484930283289661,1.9459101490553132
18,3820,10,8.2482674474469,2.3978952727983707
19,8685,13,9.069467813094768,2.6390573296152584
20,60,1,4.110873864173311,0.6931471805599453
21,110,1,4.709530201312334,0.6931471805599453
22,58,1,4.07753744390572,0.6931471805599453
23,1699,4,7.438383530044307,1.6094379124341003
24,290,4,5.673323267171493,1.6094379124341003
25,15166,26,9.626877294051397,3.295836866004329
26,558,2,6.326149473155099,1.0986122886681098
27,5076,6,8.532475814947395,1.9459101490553132
28,2109,6,7.6544432264701125,1.9459101490553132
30,38949,32,10.570034051298894,3.4965075614664802
31,2134,4,7.666221925662725,1.6094379124341003
32,9256,16,9.133135301067211,2.833213344056216
34,2887,9,7.968319500012717,2.302585092994046
36,8570,14,9.056139690898883,2.70805020110221
37,978,5,6.88653164253051,1.791759469228055
38,541,5,6.295266001439646,1.791759469228055
39,13816,11,9.53365499705667,2.4849066497880004
40,4561,14,8.425516402844334,2.70805020110221
41,2355,7,7.764720544771477,2.0794415416798357
43,663,3,6.498282149476434,1.3862943611198906
44,155,1,5.049856007249537,0.6931471805599453
45,29358,39,10.287354422202895,3.6888794541139363
46,364,5,5.8998973535824915,1.791759469228055
47,1309,6,7.177782416195197,1.9459101490553132
48,428,3,6.061456918928017,1.3862943611198906
49,1519,6,7.326465613840322,1.9459101490553132
50,332,3,5.808142489980444,1.3862943611198906
51,348919,111,12.762597948547155,4.718498871295094
52,18787,23,9.840973647146885,3.1780538303479458
53,44230,75,10.697181179695644,4.330733340286331
54,15927,18,9.675833845744032,2.9444389791664403
55,449292,298,13.0154305151461,5.700443573390687
56,176043,151,12.078489242775497,5.0238805208462765
57,15611,19,9.655795128300506,2.995732273553991
58,54597,82,10.907752531025471,4.418840607796598
59,67259,107,11.11632098529426,4.68213122712422
60,4194,2,8.341648618901306,1.0986122886681098
61,12833,25,9.45985317831046,3.258096538021482
62,5491,3,8.61104776688786,1.3862943611198906
63,77046,41,11.252170904234243,3.7376696182833684
64,47993,71,10.778831282076878,4.276666119016055
65,330757,369,12.70914226913745,5.91350300563827
66,11316,19,9.334061298965942,2.995732273553991
67,921198,429,13.73343136138748,6.063785208687608
68,9357,17,9.143986871426161,2.8903717578961645
69,19391,29,9.87261588886904,3.4011973816621555
70,44852,85,10.711145754882038,4.454347296253507
71,39172,57,10.57574301295352,4.060443010546419
