tag_0,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_18,tag_19,tag_20,tag_21,tag_22,tag_23,tag_24,tag_25,tag_26,tag_27,tag_28,tag_29,tag_30,tag_31,tag_32,tag_33,tag_34,tag_35,tag_36,tag_37,tag_38,tag_39,tag_40,tag_41,tag_42,tag_43,tag_44,tag_45,tag_46,tag_47,tag_48,tag_49,userID
0.0,0.20975135193317798,0.0,0.0,0.0,0.421387423843983,0.0,0.0,0.0,0.5453824376738824,0.10911520561792196,0.09792219884231074,0.0,0.0,0.25249024852143,0.0,0.10080833829026242,0.08738437236959715,0.0,0.0,0.0,0.0,0.0,0.3011329869013392,0.0,0.0,0.0,0.23718222398266353,0.0,0.0,0.0,0.0,0.30742923011133044,0.28546741295746797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23454122703573804,2
0.0,0.0,0.0,0.0,0.0,0.6501517690176705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08656957282179116,0.0,0.7258325084200654,0.17976522653771226,0.0,0.0,0.0,0.0,0.0,0.10324736971529566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.11199820242211252,0.0,0.0,0.2145653003727544,0.16875207320062732,0.0,0.0,0.0,0.05824215394952395,0.0,0.0,0.0,0.0,0.35951716103069803,0.0,0.0,0.0,0.0,0.18381977313817255,0.0,0.0,0.0,0.0,0.08861545484559653,0.0669950766976264,0.0,0.06332255427130658,0.0,0.0,0.0,0.4838192339558724,0.05471799637546094,0.22864098471827335,0.05508271668658703,0.2388652427283939,0.20267055271334652,0.0,0.0,0.0,0.579410753146848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06261746486918399,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7834518970795222,0.5765727664322944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14715701151790017,0.0,0.0,0.0,0.0,0.0,0.17919761140213109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6965621197328487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.717496490133074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5809435227981427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16091804998873288,0.0,0.0,0.0,0.0,0.4744568165636988,0.0,0.0,0.0,0.0,0.0,0.0,0.20039086004896955,0.16575425621803244,0.17135029150533773,0.0,0.17272500493468765,0.0,0.0,0.0,0.5335493545575118,0.0,8
0.0,0.0,0.0,0.0,0.07442036842768823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051956598475887725,0.0,0.0,0.0,0.0,0.4958839856019975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4195226998592776,0.0,0.2643413806246554,0.0,0.0,0.0,0.0,0.0,0.0,0.7070965508709642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
0.0,0.0,0.0,0.0,0.6457110689688356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12977343639096245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7500336432908431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06054423630923895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19253361694620164,0.17711623484431266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5037068227633792,0.0,0.0,0.0,0.17475903138780055,0.0,0.7885685797543077,0.1595586361638918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
