userID,sum_weight,mean_weight,num_artists
2,168737,3374.74,50
3,20501,410.02,50
4,26930,538.6,50
5,13159,263.18,50
6,1011,20.22,50
7,135399,2707.98,50
8,36279,725.58,50
9,25597,511.94,50
10,28523,570.46,50
11,42920,858.4,50
12,256144,5122.88,50
13,4211,84.22,50
14,34681,693.62,50
15,19863,397.26,50
16,14101,282.02,50
17,34839,696.78,50
18,20311,406.22,50
20,9052,181.04,50
21,23493,469.86,50
22,61844,1236.88,50
23,16521,330.42,50
24,60844,1216.88,50
25,23039,460.78,50
26,30657,613.14,50
27,5738,114.76,50
28,499,9.98,50
29,7327,146.54,50
30,17234,344.68,50
31,28034,560.68,50
32,33019,660.38,50
33,41460,829.2,50
34,38212,764.24,50
35,21,1.4,15
36,28146,562.92,50
37,15275,305.5,50
38,12113,247.20408163265307,49
39,3691,73.82,50
40,21213,424.26,50
41,46822,936.44,50
42,21316,426.32,50
43,28525,570.5,50
44,16137,322.74,50
45,44341,886.82,50
46,76348,1526.96,50
47,50761,1015.22,50
48,29346,586.92,50
49,7612,152.24,50
50,42435,848.7,50
51,33637,672.74,50
52,8912,178.24,50
53,13791,275.82,50
54,23743,474.86,50
55,26787,535.74,50
56,37899,757.98,50
57,49276,985.52,50
58,27367,547.34,50
59,90748,1814.96,50
60,3351,67.02,50
61,15962,319.24,50
62,16660,333.2,50
63,7902,158.04,50
64,13866,277.32,50
65,16406,328.12,50
66,27581,551.62,50
68,13200,264.0,50
69,17151,343.02,50
70,24578,491.56,50
71,12955,259.1,50
72,837,16.74,50
73,21119,422.38,50
74,52966,1059.32,50
75,25941,518.82,50
76,62052,1241.04,50
77,31308,626.16,50
78,10720,214.4,50
79,115330,2306.6,50
80,9658,193.16,50
81,11207,224.14,50
82,16256,325.12,50
83,47184,943.68,50
84,22743,454.86,50
85,7940,158.8,50
86,23936,478.72,50
87,2368,47.36,50
88,1053,21.06,50
89,47310,946.2,50
90,7766,155.32,50
91,59792,1195.84,50
92,859,17.18,50
94,12781,255.62,50
95,9028,180.56,50
96,1049,20.98,50
97,32434,648.68,50
98,8493,169.86,50
99,15815,316.3,50
100,10358,207.16,50
101,58107,1162.14,50
102,41734,834.68,50
103,4417,88.34,50
104,200979,4019.58,50
105,8433,168.66,50
106,49460,989.2,50
107,277680,5553.6,50
108,24679,493.58,50
109,20118,402.36,50
110,85411,1708.22,50
111,25454,509.08,50
112,10,10.0,1
113,191781,3835.62,50
114,9823,196.46,50
115,99,1.98,50
116,20836,416.72,50
117,23263,465.26,50
118,22848,456.96,50
119,25418,508.36,50
120,8744,174.88,50
121,30050,601.0,50
122,837,16.74,50
123,93771,1875.42,50
124,31736,634.72,50
125,37930,758.6,50
126,20342,406.84,50
127,34508,690.16,50
128,63420,1268.4,50
129,18546,370.92,50
130,17363,347.26,50
131,7463,149.26,50
132,36706,734.12,50
133,13163,263.26,50
134,19394,387.88,50
135,51601,1032.02,50
136,14347,286.94,50
137,42903,858.06,50
139,25684,513.68,50
140,40753,815.06,50
141,5537,110.74,50
142,8468,169.36,50
