artistID,artist_popularity,num_users,log_artist_popularity,normalized_artist_popularity,normalized_num_users,standardized_artist_popularity,standardized_num_users
1,0.0003217531451369937,0.0032786885245901635,0.4255698528944939,0.0003217531451369,0.0032786885245901,0.00032175314513699306,0.003278688524590165
2,0.003347486293107086,0.0180327868852459,0.592761060446619,0.003347486293107,0.0180327868852459,0.003347486293107085,0.018032786885245896
3,0.0003234245900467963,0.0032786885245901635,0.4259391262919455,0.0003234245900467,0.0032786885245901,0.00032342459004679517,0.003278688524590165
4,0.00023483800982726036,0.001639344262295082,0.40313820094105174,0.0002348380098272,0.001639344262295,0.00023483800982725925,0.0016393442622950815
5,0.00038108943943498475,0.001639344262295082,0.43763461760246236,0.0003810894394349,0.001639344262295,0.00038108943943498366,0.0016393442622950815
6,0.0021223171742218066,0.014754098360655738,0.5602095703956058,0.0021223171742218,0.0147540983606557,0.002122317174221805,0.014754098360655731
7,0.04019825008075168,0.21639344262295082,0.7703523597331333,0.0401982500807516,0.2163934426229508,0.04019825008075169,0.2163934426229508
8,0.004508722644192419,0.0180327868852459,0.6140358394454178,0.0045087226441924,0.0180327868852459,0.004508722644192417,0.018032786885245896
9,0.0040198250080751684,0.03770491803278688,0.6058362523969749,0.0040198250080751,0.0377049180327868,0.004019825008075167,0.037704918032786874
10,0.001699023750814307,0.013114754098360656,0.5443212467526136,0.0016990237508143,0.0131147540983606,0.001699023750814306,0.01311475409836065
11,0.0008319617038542266,0.008196721311475409,0.49333789834040054,0.0008319617038542,0.0081967213114754,0.0008319617038542261,0.008196721311475407
12,0.003996006918110482,0.029508196721311476,0.6054117041242845,0.0039960069181104,0.0295081967213114,0.00399600691811048,0.02950819672131147
13,0.0009924204151952728,0.014754098360655738,0.505928003628742,0.0009924204151952,0.0147540983606557,0.0009924204151952718,0.014754098360655731
15,0.0037448723204126463,0.040983606557377046,0.6007747490997344,0.0037448723204126,0.040983606557377,0.003744872320412645,0.04098360655737704
16,0.0005766484938818849,0.011475409836065573,0.46717783418160375,0.0005766484938818,0.0114754098360655,0.0005766484938818845,0.01147540983606557
17,0.0007433751236346907,0.008196721311475409,0.48530172276677075,0.0007433751236346,0.0081967213114754,0.0007433751236346898,0.008196721311475407
18,0.0015958120276339987,0.014754098360655738,0.5398454022709823,0.0015958120276339,0.0147540983606557,0.0015958120276339982,0.014754098360655731
19,0.003628706899181368,0.019672131147540982,0.5985236530569118,0.0036287068991813,0.0196721311475409,0.0036287068991813667,0.01967213114754098
